,name,price,deskripsi,isi_deksripsi
35,Garnier Bright Complete Clear Up Anti Acne Mask,Rp22.500 - Rp31.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Sachet @ 28 g**L'Oreal Indonesia**BPOM: NA11200200107
36,Garnier Bright Complete Vitamin C 30x Booster Serum 15 ml,Rp34.400 - Rp114.000,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Botol @ 15 ml**Garnier**BPOM: NA18211900818
37,Garnier Bright Complete Vitamin C Serum Mask,Rp22.800 - Rp31.500,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Sachet @ 28 g**Garnier
38,Garnier Hydra Bomb Eye Serum Mask Brightening Eye Mask,Rp18.000 - Rp26.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Sachet @ 6 g**L'Oreal Indonesia**BPOM: NA11200200108
39,Garnier Hydra Bomb Serum Mask Night,Rp23.000 - Rp31.500,Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Produk Konsumen**Sachet @ 28 g**L'Oreal Indonesia**BPOM: NA11200200113
40,Garnier Light Bright Scrub 100 ml,Rp13.900 - Rp43.000,Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur,Scrub wajah yang lembut dan mudah dibilas dengan 1000 Microbeads dan Sari Lemon untuk membersihkan secara menyeluruh wajah 1 tingkattona lebih cerah sejak pemakaian pertama Cocok digunakan seharihari**AquaWater Glycerin Myristic Acid Palmitic AcidStearic Acid Potassium Hydroxide Lauric Acid Glyceryl Distearate Glyceryl Stearate Polyethylene Kaolin Benzyl Salicylate Citrus Medica Limonum Extract Lemon Fruit Extract Geraniol Limonene Linalool Methylisothiazolinone PEG14M Tetrasodium EDTA ParfumFragrance B452333**Sesuai kebutuhan**Gunakan pada wajah yang basah bilas dengan air Hindari daerahkawasan sekitar mata**Produk Konsumen**Tube 100 ml**Garnier
41,Garnier Light Complete Cream 20 ml,Rp14.100 - Rp36.200,Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Sesuai kebutuhan**Bersihkan wajah terlebih dahulu,oleskan secara merata pada wajah dan leher**Produk Konsumen**Tube 20 ml**L'Oreal Indonesia**BPOM: NA18161900333"
42,Garnier Light Complete Cream 40 ml,Rp27.300 - Rp66.000,Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Sesuai kebutuhan**Bersihkan wajah terlebih dahulu,oleskan secara merata pada wajah dan leher**Produk Konsumen**Tube 50 ml**L'Oreal Indonesia**BPOM: NA18161900333"
43,Garnier Light Complete Extra UV Cream 20 ml,Rp17.500 - Rp22.200,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"-**Sun protector spf 17,melembabkan,mencerahkan kulit wajah,sekaligus melindungi dari bahaya sinar uv**Sari lemon untuk mengangkat sel kulit mati,snow pine with source dan vitamin c sebagai bahan yg menbantu menghambat pembentukan melanine yg dapat menyebabkan kulit menjadi gelap,spf 17 pelindung sinar uv**Sesuai kebutuhan**Bersihkan wajah terlebih dahulu,oleskan secara merata pada wajah dan leher**Hipersensitif**-**Reaksi hipersensitif**Produk Konsumen**Dus, Tube @ 20 ml**L'Oreal Indonesia**BPOM: NA18141900073"
44,Garnier Light Complete Scrub 50 ml,Rp15.400 - Rp33.500,Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Sesuai kebutuhan**Produk Konsumen**Tube 50 ml**L'Oreal Indonesia**BPOM: NA18171203278
